pilot,average_lap_time
Міфтахутдінов Ільяс,42.135
Бурім Сергій,42.263
Ткаченко Кирило,42.279
Якусик Дмитро,42.284
Шиленко Олександр,42.324
Бахмацький Олег,42.340
Васильчук Назар,42.357
Ревчук Олександр,42.362
Закалюк Євгеній,42.371
Танцюра Денис,42.375
Ждан-Пушкін,Антон	42.396
Маніло Денис,42.406
Архіпов Олександр,42.469
Ревчук Олексій,42.479
Кулаков Стас,42.491
Нужний Олексій,42.493
Ференс Дмитро,42.528
Михальчик Олександр,42.536
Харченко Артем,42.556
Ядренцов Дмитрий,42.586
Тищенко Михайло,42.587
Лихошерст Олексій,42.652
Пивоварчук Максим,42.672
Козаков Єгор,42.683
Стасюк Ярослав,42.687
Фортуна Таня,42.704
Єлманов Сергій,42.706
Бєгішев Максим,42.720
Оліфіренко Данило,42.735
Хавіло Дмитро,42.743
Дорохін Антон,42.748
Дорош Андрій,42.769
Міщенко Єгор,42.811
Поляруш Олександр,42.850
Мосунов Олексій,42.894
Слащов Руслан,42.982
Паничук Дмитро,43.170
Мірошник Олексій,43.194
Нестеренко Данило,43.595